location_id,latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
0,37.71529,21.657755,296.0,10800,Europe/Athens,GMT+3
1,37.293495,22.082228,516.0,10800,Europe/Athens,GMT+3
2,38.76977,23.451569,123.0,10800,Europe/Athens,GMT+3
3,39.050964,26.419754,355.0,10800,Europe/Athens,GMT+3
4,37.293495,22.082228,569.0,10800,Europe/Athens,GMT+3
5,38.488575,24.056988,214.0,10800,Europe/Athens,GMT+3
6,36.44991,23.146214,198.0,10800,Europe/Athens,GMT+3
7,37.996483,23.225805,918.0,10800,Europe/Athens,GMT+3
8,39.26186,23.181818,266.0,10800,Europe/Athens,GMT+3
9,37.996483,24.556452,313.0,10800,Europe/Athens,GMT+3
10,36.66081,22.411533,176.0,10800,Europe/Athens,GMT+3
11,37.0826,22.589169,610.0,10800,Europe/Athens,GMT+3
12,37.434093,21.662233,250.0,10800,Europe/Athens,GMT+3
13,38.980667,23.30137,182.0,10800,Europe/Athens,GMT+3
14,38.20738,23.805668,406.0,10800,Europe/Athens,GMT+3
15,38.27768,22.986486,387.0,10800,Europe/Athens,GMT+3
16,37.64499,21.748999,138.0,10800,Europe/Athens,GMT+3
17,36.02812,27.862694,69.0,10800,Europe/Athens,GMT+3
18,38.910366,24.500683,92.0,10800,Europe/Athens,GMT+3
19,36.66081,24.416777,315.0,10800,Europe/Athens,GMT+3
20,39.964848,23.505587,160.0,10800,Europe/Athens,GMT+3
21,37.0826,22.232498,940.0,10800,Europe/Athens,GMT+3
22,36.239014,22.938883,455.0,10800,Europe/Athens,GMT+3
23,38.558872,24.089674,369.0,10800,Europe/Athens,GMT+3
24,40.738136,24.638298,259.0,10800,Europe/Athens,GMT+3
25,40.597538,24.695898,202.0,10800,Europe/Athens,GMT+3
26,38.629173,23.510204,188.0,10800,Europe/Athens,GMT+3
27,39.40246,22.62431,333.0,10800,Europe/Athens,GMT+3
28,37.785587,26.86747,209.0,10800,Europe/Athens,GMT+3
29,40.31634,24.177216,356.0,10800,Europe/Athens,GMT+3
30,36.098415,27.898832,192.0,10800,Europe/Athens,GMT+3
31,38.066784,20.713324,483.0,10800,Europe/Athens,GMT+3
32,39.050964,22.098766,670.0,10800,Europe/Athens,GMT+3
33,36.801403,27.082787,126.0,10800,Europe/Athens,GMT+3
34,38.066784,23.741587,554.0,10800,Europe/Athens,GMT+3
35,38.20738,24.291498,156.0,10800,Europe/Athens,GMT+3
36,38.347977,23.38295,261.0,10800,Europe/Athens,GMT+3
37,38.20738,23.076923,180.0,10800,Europe/Athens,GMT+3
38,35.114235,24.764332,451.0,10800,Europe/Athens,GMT+3
39,36.66081,25.124508,257.0,10800,Europe/Athens,GMT+3
40,38.20738,22.105263,350.0,10800,Europe/Athens,GMT+3
41,41.01933,24.522112,539.0,10800,Europe/Athens,GMT+3
42,37.71529,23.94385,72.0,10800,Europe/Athens,GMT+3
43,40.246044,20.85674,1491.0,7200,Europe/Tirane,GMT+2
44,37.71529,20.815508,145.0,10800,Europe/Athens,GMT+3
45,38.558872,23.233696,234.0,10800,Europe/Athens,GMT+3
46,37.855885,20.75067,379.0,10800,Europe/Athens,GMT+3
47,38.84007,23.237705,188.0,10800,Europe/Athens,GMT+3
48,37.152897,25.47619,644.0,10800,Europe/Athens,GMT+3
49,38.418278,23.414635,475.0,10800,Europe/Athens,GMT+3
50,38.418278,21.585367,225.0,10800,Europe/Athens,GMT+3
51,38.13708,22.196766,653.0,10800,Europe/Athens,GMT+3
52,38.488575,22.835821,276.0,10800,Europe/Athens,GMT+3
53,38.27768,21.891891,601.0,10800,Europe/Athens,GMT+3
54,39.543056,22.437674,144.0,10800,Europe/Athens,GMT+3
55,37.996483,22.258064,1485.0,10800,Europe/Athens,GMT+3
56,38.27768,26.027027,204.0,10800,Europe/Athens,GMT+3
57,37.434093,23.337767,247.0,10800,Europe/Athens,GMT+3
58,39.824253,21.935934,740.0,10800,Europe/Athens,GMT+3
59,38.13708,23.65229,612.0,10800,Europe/Athens,GMT+3
60,39.121265,20.892857,0.0,10800,Europe/Athens,GMT+3
61,37.64499,26.194927,281.0,10800,Europe/Athens,GMT+3
62,37.855885,21.474531,239.0,10800,Europe/Athens,GMT+3
63,37.855885,22.92225,347.0,10800,Europe/Athens,GMT+3
64,41.23023,24.369627,554.0,10800,Europe/Athens,GMT+3
65,37.926186,23.919462,631.0,10800,Europe/Athens,GMT+3
66,37.223198,21.933775,343.0,10800,Europe/Athens,GMT+3
67,36.801403,22.943497,308.0,10800,Europe/Athens,GMT+3
68,41.01933,26.191156,201.0,10800,Europe/Athens,GMT+3
69,35.395428,23.738796,179.0,10800,Europe/Athens,GMT+3
70,38.066784,23.378197,209.0,10800,Europe/Athens,GMT+3
71,36.801403,21.879107,186.0,10800,Europe/Athens,GMT+3
72,40.105446,23.949581,183.0,10800,Europe/Athens,GMT+3
73,37.50439,21.810919,514.0,10800,Europe/Athens,GMT+3
74,35.043934,25.76336,231.0,10800,Europe/Athens,GMT+3
75,38.69947,21.212534,241.0,10800,Europe/Athens,GMT+3
76,38.418278,21.219513,1.0,10800,Europe/Athens,GMT+3
77,41.01933,24.778887,22.0,10800,Europe/Athens,GMT+3
78,40.94903,25.384617,44.0,10800,Europe/Athens,GMT+3
79,36.942,22.529644,437.0,10800,Europe/Athens,GMT+3
80,36.590508,22.382198,404.0,10800,Europe/Athens,GMT+3
81,38.418278,21.95122,168.0,10800,Europe/Athens,GMT+3
82,37.57469,23.039999,433.0,10800,Europe/Athens,GMT+3
83,38.347977,22.165089,289.0,10800,Europe/Athens,GMT+3
84,37.855885,24.852547,373.0,10800,Europe/Athens,GMT+3
85,37.434093,22.140957,403.0,10800,Europe/Athens,GMT+3
86,39.33216,20.606897,359.0,10800,Europe/Athens,GMT+3
87,37.434093,22.38032,733.0,10800,Europe/Athens,GMT+3
88,39.40246,22.5,270.0,10800,Europe/Athens,GMT+3
89,40.45694,22.341328,248.0,10800,Europe/Athens,GMT+3
90,35.184532,24.45153,242.0,10800,Europe/Athens,GMT+3
91,37.57469,22.68,195.0,10800,Europe/Athens,GMT+3
92,38.488575,26.010855,321.0,10800,Europe/Athens,GMT+3
93,35.395428,23.62356,442.0,10800,Europe/Athens,GMT+3
94,35.184532,26.058672,560.0,10800,Europe/Athens,GMT+3
95,40.597538,23.295616,361.0,10800,Europe/Athens,GMT+3
96,40.94903,22.820515,157.0,10800,Europe/Athens,GMT+3
97,39.191563,22.530949,706.0,10800,Europe/Athens,GMT+3
98,39.47276,19.917013,45.0,10800,Europe/Athens,GMT+3
99,37.855885,22.560322,786.0,10800,Europe/Athens,GMT+3
100,38.066784,21.440107,0.0,10800,Europe/Athens,GMT+3
101,38.488575,22.347355,578.0,10800,Europe/Athens,GMT+3
102,37.152897,26.785715,131.0,10800,Europe/Athens,GMT+3
103,37.50439,22.170439,1195.0,10800,Europe/Athens,GMT+3
104,37.152897,21.666666,297.0,10800,Europe/Athens,GMT+3
105,38.84007,22.868853,525.0,10800,Europe/Athens,GMT+3
106,40.246044,22.120787,1771.0,10800,Europe/Athens,GMT+3
107,36.309315,28.125,86.0,10800,Europe/Athens,GMT+3
108,35.114235,24.764332,492.0,10800,Europe/Athens,GMT+3
109,34.973637,24.930115,294.0,10800,Europe/Athens,GMT+3
110,40.52724,21.61017,658.0,10800,Europe/Athens,GMT+3
111,37.363796,22.709164,-2.0,10800,Europe/Athens,GMT+3
112,35.043934,25.419847,593.0,10800,Europe/Athens,GMT+3
113,40.878735,25.732574,113.0,10800,Europe/Athens,GMT+3
114,40.878735,23.556189,281.0,10800,Europe/Athens,GMT+3
115,38.629173,23.020409,353.0,10800,Europe/Athens,GMT+3
116,38.347977,23.139378,177.0,10800,Europe/Athens,GMT+3
117,38.910366,20.807114,1.0,10800,Europe/Athens,GMT+3
118,38.84007,21.270493,172.0,10800,Europe/Athens,GMT+3
119,37.71529,22.740643,257.0,10800,Europe/Athens,GMT+3
120,40.31634,21.01266,1314.0,10800,Europe/Athens,GMT+3
121,39.543056,22.31302,261.0,10800,Europe/Athens,GMT+3
122,39.824253,20.557104,376.0,10800,Europe/Athens,GMT+3
123,41.01933,25.164051,0.0,10800,Europe/Athens,GMT+3
124,41.159927,22.660944,163.0,10800,Europe/Athens,GMT+3
125,40.878735,23.044096,322.0,10800,Europe/Athens,GMT+3
126,39.26186,22.561983,562.0,10800,Europe/Athens,GMT+3
127,38.558872,25.557066,142.0,10800,Europe/Athens,GMT+3
128,41.01933,22.59629,33.0,10800,Europe/Athens,GMT+3
129,37.434093,23.218084,212.0,10800,Europe/Athens,GMT+3
130,39.613354,20.34674,412.0,10800,Europe/Athens,GMT+3
131,38.13708,20.619946,133.0,10800,Europe/Athens,GMT+3
132,38.629173,24.12245,272.0,10800,Europe/Athens,GMT+3
133,40.597538,23.041018,77.0,10800,Europe/Athens,GMT+3
134,41.51142,26.32565,135.0,10800,Europe/Athens,GMT+3
135,37.996483,23.104837,1015.0,10800,Europe/Athens,GMT+3
136,39.753952,20.653685,527.0,10800,Europe/Athens,GMT+3
137,38.13708,23.773584,1053.0,10800,Europe/Athens,GMT+3
138,36.731106,25.27559,346.0,10800,Europe/Athens,GMT+3
139,39.543056,20.692522,1060.0,10800,Europe/Athens,GMT+3
140,41.300526,22.855093,125.0,10800,Europe/Athens,GMT+3
141,35.184532,25.140306,296.0,10800,Europe/Athens,GMT+3
142,40.105446,22.058825,935.0,10800,Europe/Athens,GMT+3
143,41.08963,23.27143,23.0,10800,Europe/Athens,GMT+3
144,40.808434,21.988636,626.0,10800,Europe/Athens,GMT+3
145,39.050964,20.987654,0.0,10800,Europe/Athens,GMT+3
146,40.808434,20.965908,851.0,10800,Europe/Athens,GMT+3
147,39.824253,25.320335,187.0,10800,Europe/Athens,GMT+3
148,39.191563,26.121046,453.0,10800,Europe/Athens,GMT+3
149,37.0826,21.756935,434.0,10800,Europe/Athens,GMT+3
150,40.878735,22.147938,147.0,10800,Europe/Athens,GMT+3
151,40.386642,23.704224,345.0,10800,Europe/Athens,GMT+3
152,36.379612,25.814863,186.0,10800,Europe/Athens,GMT+3
153,37.434093,22.38032,872.0,10800,Europe/Athens,GMT+3
154,40.246044,21.867977,306.0,10800,Europe/Athens,GMT+3
155,36.871704,22.38158,945.0,10800,Europe/Athens,GMT+3
156,41.722317,26.309694,43.0,10800,Europe/Athens,GMT+3
157,40.808434,26.079544,1.0,10800,Europe/Athens,GMT+3
158,37.996483,23.467741,63.0,10800,Europe/Athens,GMT+3
159,37.434093,24.414894,148.0,10800,Europe/Athens,GMT+3
160,39.26186,26.033058,299.0,10800,Europe/Athens,GMT+3
161,38.13708,22.439352,180.0,10800,Europe/Athens,GMT+3
162,37.71529,21.537434,171.0,10800,Europe/Athens,GMT+3
163,39.26186,22.066114,140.0,10800,Europe/Athens,GMT+3
164,39.964848,21.620113,541.0,10800,Europe/Athens,GMT+3
165,40.597538,20.876945,1202.0,7200,Europe/Tirane,GMT+2
166,39.753952,21.78025,742.0,10800,Europe/Athens,GMT+3
167,39.613354,22.59362,47.0,10800,Europe/Athens,GMT+3
168,36.44991,27.375978,69.0,10800,Europe/Athens,GMT+3
169,40.105446,21.428574,609.0,10800,Europe/Athens,GMT+3
170,40.738136,23.234043,270.0,10800,Europe/Athens,GMT+3
171,38.69947,21.457766,435.0,10800,Europe/Athens,GMT+3
172,37.293495,23.1565,77.0,10800,Europe/Athens,GMT+3
173,37.57469,23.4,218.0,10800,Europe/Athens,GMT+3
