location_id,latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
0,39.613354,20.34674,276.0,10800,Europe/Athens,GMT+3
1,40.105446,21.176472,1003.0,10800,Europe/Athens,GMT+3

location_id,time,weather_code (wmo code),temperature_2m_mean (°C),temperature_2m_max (°C),temperature_2m_min (°C),apparent_temperature_mean (°C),apparent_temperature_max (°C),apparent_temperature_min (°C),sunrise (iso8601),sunset (iso8601),daylight_duration (s),sunshine_duration (s),precipitation_sum (mm),rain_sum (mm),snowfall_sum (cm),precipitation_hours (h),wind_speed_10m_max (km/h),wind_gusts_10m_max (km/h),wind_direction_10m_dominant (°),shortwave_radiation_sum (MJ/m²),et0_fao_evapotranspiration (mm)
0,2000-01-18,1,3.3,7.9,-0.7,-0.0,5.2,-4.6,2000-01-18T08:56,2000-01-18T18:41,35061.32,30862.25,0.00,0.00,0.00,0.0,14.6,39.2,332,9.01,0.95
0,2000-01-19,55,4.2,7.0,-0.2,1.1,3.7,-4.2,2000-01-19T08:56,2000-01-19T18:42,35154.25,26146.77,2.50,2.50,0.00,4.0,8.9,38.2,23,8.88,1.13
0,2000-01-20,0,0.2,3.8,-2.4,-4.0,-0.8,-6.7,2000-01-20T08:55,2000-01-20T18:43,35250.45,31374.87,0.00,0.00,0.00,0.0,9.9,31.7,5,11.64,1.38
0,2000-01-21,71,0.8,4.8,-2.3,-2.6,1.9,-6.0,2000-01-21T08:55,2000-01-21T18:44,35350.05,30925.52,0.20,0.10,0.07,1.0,7.3,25.2,33,9.79,1.04
0,2000-01-22,73,4.2,9.3,-0.0,1.3,6.8,-3.1,2000-01-22T08:54,2000-01-22T18:45,35452.86,30874.68,2.10,1.60,0.35,6.0,7.4,21.6,61,10.93,1.30
0,2000-01-23,71,4.8,9.2,-0.5,1.5,6.3,-4.0,2000-01-23T08:53,2000-01-23T18:46,35558.72,14114.93,28.70,28.60,0.07,18.0,18.5,58.7,171,4.55,0.53
0,2000-01-24,71,4.5,6.6,0.2,1.6,4.1,-2.8,2000-01-24T08:53,2000-01-24T18:47,35667.45,30434.73,16.40,16.00,0.28,18.0,16.9,59.0,268,8.11,0.78
0,2000-01-25,3,0.2,4.4,-3.6,-3.4,0.1,-7.4,2000-01-25T08:52,2000-01-25T18:48,35778.87,31879.38,0.00,0.00,0.00,0.0,11.3,32.8,336,10.97,1.08
0,2000-01-26,0,-1.4,2.7,-4.9,-5.3,-1.1,-9.1,2000-01-26T08:51,2000-01-26T18:50,35892.80,32362.72,0.00,0.00,0.00,0.0,7.3,20.9,14,12.11,1.20
0,2000-01-27,0,0.0,6.3,-4.7,-3.9,2.6,-9.1,2000-01-27T08:51,2000-01-27T18:51,36009.09,32449.14,0.00,0.00,0.00,0.0,6.7,19.1,16,11.99,1.39
