location_id,time,date,country,city,latitude,longitude,weather_code,temperature_2m_max,temperature_2m_min,apparent_temperature_max,apparent_temperature_min,sunrise,sunset,daylight_duration,sunshine_duration,precipitation_sum,rain_sum,snowfall_sum,precipitation_hours,wind_speed_10m_max,wind_gusts_10m_max,wind_direction_10m_dominant,shortwave_radiation_sum,et0_fao_evapotranspiration
3,2021-01-01,2021-01-01,Greece,Heraklion,35.3387,25.1442,0,19.4,11.5,18.5,9.1,2021-01-01T08:28,2021-01-01T18:17,35372.76,30396.91,0.1,0.1,0.0,1.0,20.1,38.9,195,9.24,1.79
3,2021-01-02,2021-01-02,Greece,Heraklion,35.3387,25.1442,2,19.4,11.5,16.1,9.7,2021-01-02T08:28,2021-01-02T18:18,35409.28,28843.63,0.0,0.0,0.0,0.0,23.8,49.3,175,9.55,2.05
3,2021-01-03,2021-01-03,Greece,Heraklion,35.3387,25.1442,3,20.3,13.3,18.1,10.9,2021-01-03T08:28,2021-01-03T18:19,35448.66,30910.46,0.0,0.0,0.0,0.0,18.2,39.2,184,10.03,2.42
3,2021-01-04,2021-01-04,Greece,Heraklion,35.3387,25.1442,3,19.6,14.6,16.6,13.4,2021-01-04T08:28,2021-01-04T18:20,35490.87,16193.78,0.9,0.9,0.0,4.0,31.2,61.9,177,6.05,1.79
3,2021-01-05,2021-01-05,Greece,Heraklion,35.3387,25.1442,53,16.8,8.0,14.4,5.5,2021-01-05T08:28,2021-01-05T18:20,35535.84,31971.32,0.9,0.9,0.0,3.0,14.8,31.3,273,10.34,1.66
3,2021-01-06,2021-01-06,Greece,Heraklion,35.3387,25.1442,3,17.2,7.2,16.3,4.8,2021-01-06T08:28,2021-01-06T18:21,35583.53,20665.5,0.0,0.0,0.0,0.0,13.1,24.1,170,6.65,1.28
3,2021-01-07,2021-01-07,Greece,Heraklion,35.3387,25.1442,0,18.7,8.9,18.1,6.3,2021-01-07T08:28,2021-01-07T18:22,35633.89,32076.43,0.0,0.0,0.0,0.0,16.2,30.2,177,10.3,1.65
3,2021-01-08,2021-01-08,Greece,Heraklion,35.3387,25.1442,0,20.8,11.3,20.3,8.8,2021-01-08T08:28,2021-01-08T18:23,35686.94,32129.89,0.0,0.0,0.0,0.0,28.3,55.1,184,11.17,2.12
3,2021-01-09,2021-01-09,Greece,Heraklion,35.3387,25.1442,0,22.4,14.8,20.1,11.3,2021-01-09T08:28,2021-01-09T18:24,35743.27,32184.9,0.1,0.1,0.0,1.0,32.2,64.1,182,10.76,2.63
3,2021-01-10,2021-01-10,Greece,Heraklion,35.3387,25.1442,0,27.4,15.4,25.9,13.2,2021-01-10T08:28,2021-01-10T18:25,35802.93,30699.56,0.0,0.0,0.0,0.0,26.7,52.2,186,9.92,3.42
3,2021-01-11,2021-01-11,Greece,Heraklion,35.3387,25.1442,3,24.3,17.7,21.4,15.9,2021-01-11T08:28,2021-01-11T18:26,35865.8,32299.43,0.0,0.0,0.0,0.0,27.1,54.7,183,10.13,3.92
3,2021-01-12,2021-01-12,Greece,Heraklion,35.3387,25.1442,1,20.5,15.4,17.0,14.3,2021-01-12T08:28,2021-01-12T18:26,35931.75,12534.33,0.1,0.1,0.0,1.0,33.1,67.3,184,6.69,2.74
3,2021-01-13,2021-01-13,Greece,Heraklion,35.3387,25.1442,51,15.9,10.3,15.8,8.7,2021-01-13T08:27,2021-01-13T18:27,36000.64,32400.0,0.7,0.7,0.0,2.0,23.4,49.3,281,10.17,2.11
3,2021-01-14,2021-01-14,Greece,Heraklion,35.3387,25.1442,1,13.9,8.5,9.6,4.8,2021-01-14T08:27,2021-01-14T18:28,36072.33,31698.69,0.4,0.4,0.0,3.0,30.8,64.1,287,9.1,2.33
3,2021-01-15,2021-01-15,Greece,Heraklion,35.3387,25.1442,0,16.6,7.0,15.6,2.9,2021-01-15T08:27,2021-01-15T18:29,36146.71,21600.0,3.7,3.7,0.0,11.0,21.6,45.7,153,5.89,1.39
3,2021-01-16,2021-01-16,Greece,Heraklion,35.3387,25.1442,2,16.7,10.3,15.7,8.2,2021-01-16T08:27,2021-01-16T18:30,36223.65,32400.0,3.7,3.7,0.0,11.0,22.8,47.5,272,9.4,1.44
3,2021-01-17,2021-01-17,Greece,Heraklion,35.3387,25.1442,51,10.5,7.8,7.9,4.7,2021-01-17T08:26,2021-01-17T18:31,36303.01,32400.0,7.3,7.3,0.0,18.0,23.4,50.8,323,8.05,1.35
3,2021-01-18,2021-01-18,Greece,Heraklion,35.3387,25.1442,1,9.0,5.6,6.8,2.8,2021-01-18T08:26,2021-01-18T18:32,36384.67,0.0,12.4,12.4,0.0,15.0,23.4,52.9,57,2.39,0.58
3,2021-01-19,2021-01-19,Greece,Heraklion,35.3387,25.1442,51,9.9,7.8,6.1,4.5,2021-01-19T08:25,2021-01-19T18:33,36468.51,32400.0,4.6,4.6,0.0,19.0,17.3,38.9,335,8.72,1.57
3,2021-01-20,2021-01-20,Greece,Heraklion,35.3387,25.1442,51,12.5,5.7,9.7,1.8,2021-01-20T08:25,2021-01-20T18:34,36554.39,32400.0,0.1,0.1,0.0,1.0,22.4,43.6,323,12.21,2.47
3,2021-01-21,2021-01-21,Greece,Heraklion,35.3387,25.1442,0,15.9,5.7,14.2,1.8,2021-01-21T08:25,2021-01-21T18:35,36642.21,31441.72,0.0,0.0,0.0,0.0,14.4,29.2,203,9.89,1.84
3,2021-01-22,2021-01-22,Greece,Heraklion,35.3387,25.1442,1,16.9,7.4,14.8,4.3,2021-01-22T08:24,2021-01-22T18:36,36731.83,21811.4,0.0,0.0,0.0,0.0,13.7,25.9,181,9.15,1.79
3,2021-01-23,2021-01-23,Greece,Heraklion,35.3387,25.1442,0,16.6,9.2,12.1,6.1,2021-01-23T08:24,2021-01-23T18:37,36823.15,31915.45,0.0,0.0,0.0,0.0,22.7,47.9,192,9.54,2.27
3,2021-01-24,2021-01-24,Greece,Heraklion,35.3387,25.1442,1,18.5,12.5,15.4,7.7,2021-01-24T08:23,2021-01-24T18:38,36916.03,32400.0,0.1,0.1,0.0,1.0,29.1,58.0,187,11.85,2.91
3,2021-01-25,2021-01-25,Greece,Heraklion,35.3387,25.1442,3,19.6,13.7,18.2,11.4,2021-01-25T08:23,2021-01-25T18:39,37010.37,32427.33,0.1,0.1,0.0,1.0,23.4,46.8,187,11.43,2.88
3,2021-01-26,2021-01-26,Greece,Heraklion,35.3387,25.1442,3,17.4,13.5,13.7,10.5,2021-01-26T08:22,2021-01-26T18:41,37106.05,5256.89,0.2,0.2,0.0,1.0,31.0,63.0,185,4.56,1.96
