location_id,time,date,country,city,latitude,longitude,weather_code,temperature_2m_max,temperature_2m_min,apparent_temperature_max,apparent_temperature_min,sunrise,sunset,daylight_duration,sunshine_duration,precipitation_sum,rain_sum,snowfall_sum,precipitation_hours,wind_speed_10m_max,wind_gusts_10m_max,wind_direction_10m_dominant,shortwave_radiation_sum,et0_fao_evapotranspiration
2,2021-01-01,2021-01-01,Greece,Thessaloniki,40.6401,22.9444,0,14.1,6.4,12.4,4.3,2021-01-01T08:52,2021-01-01T18:11,33570.24,29823.04,0.0,0.0,0.0,0.0,6.8,14.8,176,8.81,1.19
2,2021-01-02,2021-01-02,Greece,Thessaloniki,40.6401,22.9444,0,13.5,5.4,12.2,2.6,2021-01-02T08:52,2021-01-02T18:12,33615.53,29873.84,0.6,0.6,0.0,3.0,9.3,18.0,79,6.0,0.85
2,2021-01-03,2021-01-03,Greece,Thessaloniki,40.6401,22.9444,51,15.5,10.3,15.5,8.7,2021-01-03T08:52,2021-01-03T18:13,33664.35,28007.09,17.8,17.8,0.0,9.0,9.3,28.8,99,7.78,1.07
2,2021-01-04,2021-01-04,Greece,Thessaloniki,40.6401,22.9444,3,14.7,7.8,12.5,6.3,2021-01-04T08:52,2021-01-04T18:14,33716.65,0.0,29.7,29.7,0.0,17.0,24.3,60.1,113,1.68,0.43
2,2021-01-05,2021-01-05,Greece,Thessaloniki,40.6401,22.9444,3,13.7,7.5,12.0,5.1,2021-01-05T08:52,2021-01-05T18:15,33772.38,30049.3,0.2,0.2,0.0,1.0,8.0,16.9,164,8.97,1.2
2,2021-01-06,2021-01-06,Greece,Thessaloniki,40.6401,22.9444,2,15.3,7.6,13.3,5.3,2021-01-06T08:52,2021-01-06T18:16,33831.45,25429.95,0.0,0.0,0.0,0.0,12.3,27.0,127,7.96,1.26
2,2021-01-07,2021-01-07,Greece,Thessaloniki,40.6401,22.9444,2,15.5,9.0,14.9,7.4,2021-01-07T08:52,2021-01-07T18:17,33893.82,22202.04,0.1,0.1,0.0,1.0,11.0,25.9,150,6.02,0.98
2,2021-01-08,2021-01-08,Greece,Thessaloniki,40.6401,22.9444,2,18.8,10.6,16.0,9.0,2021-01-08T08:51,2021-01-08T18:17,33959.49,30257.99,0.0,0.0,0.0,0.0,23.1,48.2,162,7.84,1.82
2,2021-01-09,2021-01-09,Greece,Thessaloniki,40.6401,22.9444,3,16.1,8.5,15.5,4.5,2021-01-09T08:51,2021-01-09T18:18,34029.21,14526.97,6.5,6.5,0.0,12.0,22.3,46.1,20,5.01,1.09
2,2021-01-10,2021-01-10,Greece,Thessaloniki,40.6401,22.9444,51,12.2,9.8,10.9,8.0,2021-01-10T08:51,2021-01-10T18:19,34103.03,0.0,11.1,11.1,0.0,18.0,10.1,32.4,81,3.19,0.53
2,2021-01-11,2021-01-11,Greece,Thessaloniki,40.6401,22.9444,51,17.4,9.6,18.6,8.8,2021-01-11T08:51,2021-01-11T18:21,34180.79,10170.54,12.5,12.5,0.0,17.0,10.5,52.9,96,4.54,0.77
2,2021-01-12,2021-01-12,Greece,Thessaloniki,40.6401,22.9444,51,12.4,5.5,10.7,0.3,2021-01-12T08:50,2021-01-12T18:22,34262.32,25239.52,15.3,15.3,0.0,12.0,22.0,47.2,358,7.14,1.22
2,2021-01-13,2021-01-13,Greece,Thessaloniki,40.6401,22.9444,0,9.7,4.3,5.3,-0.5,2021-01-13T08:50,2021-01-13T18:23,34347.46,30690.19,0.0,0.0,0.0,0.0,21.2,45.4,351,7.93,1.84
2,2021-01-14,2021-01-14,Greece,Thessaloniki,40.6401,22.9444,0,7.3,1.2,4.1,-3.4,2021-01-14T08:50,2021-01-14T18:24,34436.04,22109.31,0.7,0.5,0.14,2.0,21.3,45.0,355,7.61,1.41
