location_id,time,date,country,city,latitude,longitude,weather_code,temperature_2m_max,temperature_2m_min,apparent_temperature_max,apparent_temperature_min,sunrise,sunset,daylight_duration,sunshine_duration,precipitation_sum,rain_sum,snowfall_sum,precipitation_hours,wind_speed_10m_max,wind_gusts_10m_max,wind_direction_10m_dominant,shortwave_radiation_sum,et0_fao_evapotranspiration
8,2021-01-01,2021-01-01,Italy,Milan,45.4642,9.19,3,1.4,-1.3,-2.0,-4.1,2021-01-01T09:03,2021-01-01T17:50,31654.08,0.0,19.1,12.7,4.48,18.0,12.2,32.4,10,1.47,0.16
8,2021-01-02,2021-01-02,Italy,Milan,45.4642,9.19,53,3.7,1.3,-0.1,-2.3,2021-01-02T09:03,2021-01-02T17:51,31709.36,0.0,12.2,12.2,0.0,21.0,13.7,35.6,10,1.86,0.25
8,2021-01-03,2021-01-03,Italy,Milan,45.4642,9.19,53,6.2,2.0,4.4,-0.7,2021-01-03T09:03,2021-01-03T17:52,31768.94,17848.63,9.1,9.1,0.0,13.0,18.0,36.7,82,3.9,0.39
8,2021-01-04,2021-01-04,Italy,Milan,45.4642,9.19,53,5.5,2.2,3.2,-0.1,2021-01-04T09:03,2021-01-04T17:53,31832.72,12095.48,6.1,6.1,0.0,21.0,14.7,27.4,54,3.03,0.36
8,2021-01-05,2021-01-05,Italy,Milan,45.4642,9.19,51,5.9,2.0,3.4,-0.4,2021-01-05T09:02,2021-01-05T17:54,31900.64,0.0,7.1,7.1,0.0,18.0,12.1,26.3,56,2.25,0.31
8,2021-01-06,2021-01-06,Italy,Milan,45.4642,9.19,53,3.5,0.2,1.3,-2.6,2021-01-06T09:02,2021-01-06T17:55,31972.6,3600.0,7.0,7.0,0.0,17.0,6.1,15.1,249,1.56,0.21
8,2021-01-07,2021-01-07,Italy,Milan,45.4642,9.19,3,4.7,-0.2,1.8,-3.1,2021-01-07T09:02,2021-01-07T17:56,32048.53,19043.21,0.0,0.0,0.0,0.0,7.9,16.2,251,5.06,0.48
8,2021-01-08,2021-01-08,Italy,Milan,45.4642,9.19,3,4.8,-4.5,2.2,-8.4,2021-01-08T09:02,2021-01-08T17:57,32128.46,27982.0,0.0,0.0,0.0,0.0,8.8,13.7,278,7.11,0.61
8,2021-01-09,2021-01-09,Italy,Milan,45.4642,9.19,0,4.7,-3.8,1.4,-7.7,2021-01-09T09:01,2021-01-09T17:58,32213.3,11396.95,0.0,0.0,0.0,0.0,8.2,11.2,9,4.31,0.49
8,2021-01-10,2021-01-10,Italy,Milan,45.4642,9.19,3,5.0,-3.3,1.7,-7.4,2021-01-10T09:01,2021-01-10T18:00,32303.06,28180.2,0.0,0.0,0.0,0.0,10.3,18.7,340,6.44,0.7
