location_id,time,date,country,city,latitude,longitude,weather_code,temperature_2m_max,temperature_2m_min,apparent_temperature_max,apparent_temperature_min,sunrise,sunset,daylight_duration,sunshine_duration,precipitation_sum,rain_sum,snowfall_sum,precipitation_hours,wind_speed_10m_max,wind_gusts_10m_max,wind_direction_10m_dominant,shortwave_radiation_sum,et0_fao_evapotranspiration
9,2021-01-01,2021-01-01,Italy,Naples,40.8518,14.2681,1,12.4,4.8,9.5,2.2,2021-01-01T08:27,2021-01-01T17:45,33494.39,25810.19,7.9,7.9,0.0,12.0,21.7,48.2,157,4.94,0.84
9,2021-01-02,2021-01-02,Italy,Naples,40.8518,14.2681,51,14.4,9.9,9.6,6.6,2021-01-02T08:27,2021-01-02T17:46,33540.21,25316.94,13.4,13.4,0.0,21.0,31.8,73.8,182,5.59,1.45
9,2021-01-03,2021-01-03,Italy,Naples,40.8518,14.2681,61,11.3,7.5,8.3,4.9,2021-01-03T08:27,2021-01-03T17:47,33589.6,19949.5,25.5,25.5,0.0,22.0,21.1,53.6,203,4.74,0.89
9,2021-01-04,2021-01-04,Italy,Naples,40.8518,14.2681,3,11.3,5.6,9.1,3.3,2021-01-04T08:27,2021-01-04T17:48,33642.49,29278.03,3.7,3.7,0.0,7.0,16.3,38.2,165,7.02,0.94
9,2021-01-05,2021-01-05,Italy,Naples,40.8518,14.2681,53,12.2,6.7,8.7,4.1,2021-01-05T08:27,2021-01-05T17:49,33698.83,12318.6,15.2,15.2,0.0,22.0,30.7,71.3,198,3.46,0.89
9,2021-01-06,2021-01-06,Italy,Naples,40.8518,14.2681,53,12.0,8.5,10.1,7.1,2021-01-06T08:27,2021-01-06T17:50,33758.55,202.03,7.4,7.4,0.0,17.0,18.7,54.4,244,3.01,0.75
9,2021-01-07,2021-01-07,Italy,Naples,40.8518,14.2681,3,10.0,5.8,7.6,3.7,2021-01-07T08:27,2021-01-07T17:51,33821.58,4375.51,6.1,6.1,0.0,10.0,14.0,31.0,26,2.89,0.53
9,2021-01-08,2021-01-08,Italy,Naples,40.8518,14.2681,51,13.0,6.8,12.5,3.8,2021-01-08T08:27,2021-01-08T17:52,33887.96,12108.53,6.7,6.7,0.0,10.0,14.5,32.8,12,3.95,0.63
9,2021-01-09,2021-01-09,Italy,Naples,40.8518,14.2681,1,9.2,6.3,5.8,3.0,2021-01-09T08:27,2021-01-09T17:53,33958.45,0.0,9.4,9.4,0.0,13.0,18.9,45.0,52,2.13,0.59
9,2021-01-10,2021-01-10,Italy,Naples,40.8518,14.2681,55,10.7,6.8,8.8,3.5,2021-01-10T08:27,2021-01-10T17:54,34033.06,3171.59,34.4,34.4,0.0,23.0,15.5,57.6,42,2.79,0.46
9,2021-01-11,2021-01-11,Italy,Naples,40.8518,14.2681,51,11.6,5.6,10.2,2.7,2021-01-11T08:26,2021-01-11T17:55,34111.64,26388.06,0.9,0.9,0.0,5.0,10.7,23.8,49,7.37,0.96
9,2021-01-12,2021-01-12,Italy,Naples,40.8518,14.2681,2,11.3,5.2,8.9,2.5,2021-01-12T08:26,2021-01-12T17:56,34194.01,30189.44,0.8,0.8,0.0,5.0,13.2,32.0,31,8.72,1.08
