location_id,time,date,country,city,latitude,longitude,weather_code,temperature_2m_max,temperature_2m_min,apparent_temperature_max,apparent_temperature_min,sunrise,sunset,daylight_duration,sunshine_duration,precipitation_sum,rain_sum,snowfall_sum,precipitation_hours,wind_speed_10m_max,wind_gusts_10m_max,wind_direction_10m_dominant,shortwave_radiation_sum,et0_fao_evapotranspiration
4,2021-01-01,2021-01-01,Spain,Madrid,40.4168,-3.7038,61,6.2,1.4,0.6,-2.7,2021-01-01T09:37,2021-01-01T18:59,33674.75,29952.38,3.6,3.6,0.0,7.0,22.9,42.5,283,8.78,1.19
4,2021-01-02,2021-01-02,Spain,Madrid,40.4168,-3.7038,1,5.0,-1.5,0.2,-5.5,2021-01-02T09:37,2021-01-02T18:59,33719.67,28437.25,0.0,0.0,0.0,0.0,20.1,37.4,297,8.24,1.18
4,2021-01-03,2021-01-03,Spain,Madrid,40.4168,-3.7038,0,7.2,-2.7,2.6,-6.6,2021-01-03T09:37,2021-01-03T19:00,33768.09,30057.25,0.0,0.0,0.0,0.0,15.0,27.0,269,8.41,1.12
4,2021-01-04,2021-01-04,Spain,Madrid,40.4168,-3.7038,0,5.8,-0.9,1.1,-5.1,2021-01-04T09:37,2021-01-04T19:01,33819.95,30115.36,0.1,0.1,0.0,1.0,17.0,32.4,270,8.72,1.05
4,2021-01-05,2021-01-05,Spain,Madrid,40.4168,-3.7038,0,4.5,-4.2,1.3,-7.8,2021-01-05T09:37,2021-01-05T19:02,33875.18,30177.17,0.0,0.0,0.0,0.0,8.8,16.2,292,9.68,0.93
4,2021-01-06,2021-01-06,Spain,Madrid,40.4168,-3.7038,0,5.6,-4.3,1.9,-8.2,2021-01-06T09:37,2021-01-06T19:03,33933.73,28981.43,0.0,0.0,0.0,0.0,10.3,18.0,28,9.47,1.04
4,2021-01-07,2021-01-07,Spain,Madrid,40.4168,-3.7038,3,2.3,-2.5,-1.9,-7.3,2021-01-07T09:37,2021-01-07T19:04,33995.54,534.44,1.8,0.3,1.05,6.0,14.0,24.1,32,3.26,0.56
4,2021-01-08,2021-01-08,Spain,Madrid,40.4168,-3.7038,3,1.2,-2.2,-3.5,-7.2,2021-01-08T09:37,2021-01-08T19:05,34060.62,0.0,13.6,0.0,9.52,13.0,23.2,39.2,33,1.82,0.59
4,2021-01-09,2021-01-09,Spain,Madrid,40.4168,-3.7038,75,0.4,-1.5,-2.4,-8.0,2021-01-09T09:37,2021-01-09T19:06,34129.73,0.0,33.4,0.7,22.89,24.0,27.0,45.4,44,2.69,0.32
4,2021-01-10,2021-01-10,Spain,Madrid,40.4168,-3.7038,51,3.5,-1.6,-0.3,-5.8,2021-01-10T09:37,2021-01-10T19:07,34202.9,30543.43,0.1,0.1,0.0,1.0,16.4,27.7,34,9.28,0.9
4,2021-01-11,2021-01-11,Spain,Madrid,40.4168,-3.7038,1,5.6,-3.3,0.6,-7.6,2021-01-11T09:36,2021-01-11T19:08,34279.96,30629.39,0.0,0.0,0.0,0.0,16.0,29.5,18,9.41,1.16
4,2021-01-12,2021-01-12,Spain,Madrid,40.4168,-3.7038,0,3.8,-6.6,0.2,-10.1,2021-01-12T09:36,2021-01-12T19:09,34360.74,30719.36,0.0,0.0,0.0,0.0,7.7,18.0,220,10.35,0.94
