location_id,time,date,country,city,latitude,longitude,weather_code,temperature_2m_max,temperature_2m_min,apparent_temperature_max,apparent_temperature_min,sunrise,sunset,daylight_duration,sunshine_duration,precipitation_sum,rain_sum,snowfall_sum,precipitation_hours,wind_speed_10m_max,wind_gusts_10m_max,wind_direction_10m_dominant,shortwave_radiation_sum,et0_fao_evapotranspiration
6,2021-01-01,2021-01-01,Spain,Seville,37.3891,-5.9845,1,13.0,6.0,9.2,2.9,2021-01-01T09:38,2021-01-01T19:16,34721.0,28301.45,0.5,0.5,0.0,3.0,16.2,33.1,284,9.21,1.42
6,2021-01-02,2021-01-02,Spain,Seville,37.3891,-5.9845,0,12.0,1.5,8.6,-1.4,2021-01-02T09:38,2021-01-02T19:17,34760.78,31260.25,0.0,0.0,0.0,0.0,10.0,22.7,299,10.66,1.39
6,2021-01-03,2021-01-03,Spain,Seville,37.3891,-5.9845,0,11.8,0.4,8.9,-2.9,2021-01-03T09:38,2021-01-03T19:18,34803.66,31308.07,0.0,0.0,0.0,0.0,12.0,22.0,284,10.78,1.36
6,2021-01-04,2021-01-04,Spain,Seville,37.3891,-5.9845,0,12.6,1.3,9.7,-1.1,2021-01-04T09:38,2021-01-04T19:19,34849.61,31359.21,0.1,0.1,0.0,1.0,10.2,23.0,255,9.31,1.25
6,2021-01-05,2021-01-05,Spain,Seville,37.3891,-5.9845,3,11.7,2.8,9.1,0.0,2021-01-05T09:38,2021-01-05T19:20,34898.54,21955.6,0.0,0.0,0.0,0.0,11.2,24.1,48,7.9,1.13
6,2021-01-06,2021-01-06,Spain,Seville,37.3891,-5.9845,1,10.8,2.8,7.3,-0.9,2021-01-06T09:38,2021-01-06T19:21,34950.43,7781.87,2.8,2.8,0.0,4.0,18.1,34.2,42,5.29,1.17
6,2021-01-07,2021-01-07,Spain,Seville,37.3891,-5.9845,61,8.5,7.0,5.6,3.3,2021-01-07T09:38,2021-01-07T19:22,35005.2,78.41,27.0,27.0,0.0,24.0,19.8,37.8,44,1.73,0.41
6,2021-01-08,2021-01-08,Spain,Seville,37.3891,-5.9845,61,9.4,6.6,6.5,2.7,2021-01-08T09:38,2021-01-08T19:22,35062.9,0.0,42.0,42.0,0.0,24.0,22.4,63.0,37,1.58,0.43
6,2021-01-09,2021-01-09,Spain,Seville,37.3891,-5.9845,53,9.8,4.3,6.0,0.3,2021-01-09T09:38,2021-01-09T19:23,35124.17,29073.04,1.0,1.0,0.0,2.0,14.9,31.3,248,10.43,1.32
6,2021-01-10,2021-01-10,Spain,Seville,37.3891,-5.9845,53,7.8,2.0,5.0,-0.5,2021-01-10T09:38,2021-01-10T19:24,35189.05,27815.73,2.5,2.5,0.0,11.0,12.7,27.7,41,6.52,0.76
6,2021-01-11,2021-01-11,Spain,Seville,37.3891,-5.9845,0,11.2,2.0,8.6,-1.2,2021-01-11T09:37,2021-01-11T19:25,35257.39,31812.07,0.0,0.0,0.0,0.0,11.2,25.9,23,11.19,1.39
6,2021-01-12,2021-01-12,Spain,Seville,37.3891,-5.9845,0,11.1,0.5,8.2,-3.4,2021-01-12T09:37,2021-01-12T19:26,35329.06,31891.45,0.0,0.0,0.0,0.0,10.7,25.6,42,11.49,1.44
6,2021-01-13,2021-01-13,Spain,Seville,37.3891,-5.9845,0,12.4,-0.1,9.9,-3.9,2021-01-13T09:37,2021-01-13T19:27,35403.9,31974.21,0.0,0.0,0.0,0.0,9.2,20.9,29,11.68,1.44
6,2021-01-14,2021-01-14,Spain,Seville,37.3891,-5.9845,0,12.6,-0.2,11.0,-3.4,2021-01-14T09:37,2021-01-14T19:28,35481.78,32044.95,0.0,0.0,0.0,0.0,8.1,14.0,16,11.52,1.39
6,2021-01-15,2021-01-15,Spain,Seville,37.3891,-5.9845,0,13.9,0.8,12.0,-2.4,2021-01-15T09:36,2021-01-15T19:29,35562.54,32067.92,0.0,0.0,0.0,0.0,7.5,18.0,29,11.74,1.48
6,2021-01-16,2021-01-16,Spain,Seville,37.3891,-5.9845,0,15.4,1.8,12.0,-1.5,2021-01-16T09:36,2021-01-16T19:30,35646.06,32099.72,0.0,0.0,0.0,0.0,13.8,30.6,45,11.81,1.69
6,2021-01-17,2021-01-17,Spain,Seville,37.3891,-5.9845,0,16.3,3.5,14.0,-0.5,2021-01-17T09:36,2021-01-17T19:31,35732.19,32119.79,0.0,0.0,0.0,0.0,13.4,24.1,43,11.87,1.89
6,2021-01-18,2021-01-18,Spain,Seville,37.3891,-5.9845,2,15.0,2.9,13.0,-0.6,2021-01-18T09:35,2021-01-18T19:32,35820.8,32154.91,0.0,0.0,0.0,0.0,10.3,20.2,54,11.8,1.65
6,2021-01-19,2021-01-19,Spain,Seville,37.3891,-5.9845,0,14.0,3.0,13.2,0.7,2021-01-19T09:35,2021-01-19T19:33,35911.75,18241.52,0.1,0.1,0.0,1.0,7.8,14.8,80,7.61,1.05
6,2021-01-20,2021-01-20,Spain,Seville,37.3891,-5.9845,3,16.0,10.3,13.8,8.3,2021-01-20T09:34,2021-01-20T19:35,36004.89,14849.23,15.3,15.3,0.0,14.0,29.6,65.5,202,4.41,0.81
6,2021-01-21,2021-01-21,Spain,Seville,37.3891,-5.9845,1,15.9,9.2,14.1,7.9,2021-01-21T09:34,2021-01-21T19:36,36100.11,24693.49,1.0,1.0,0.0,5.0,22.5,43.6,225,7.67,1.19
6,2021-01-22,2021-01-22,Spain,Seville,37.3891,-5.9845,51,17.2,12.0,13.3,9.6,2021-01-22T09:33,2021-01-22T19:37,36197.27,29971.69,2.3,2.3,0.0,6.0,28.1,58.7,250,9.27,2.0
6,2021-01-23,2021-01-23,Spain,Seville,37.3891,-5.9845,0,16.9,9.1,12.7,7.6,2021-01-23T09:33,2021-01-23T19:38,36296.24,17111.62,0.3,0.3,0.0,3.0,26.5,52.9,239,6.28,1.33
6,2021-01-24,2021-01-24,Spain,Seville,37.3891,-5.9845,3,17.3,12.8,15.8,11.8,2021-01-24T09:32,2021-01-24T19:39,36396.89,28759.9,0.7,0.7,0.0,2.0,23.8,45.4,252,10.2,1.73
