location_id,time,date,country,city,latitude,longitude,weather_code,temperature_2m_max,temperature_2m_min,apparent_temperature_max,apparent_temperature_min,sunrise,sunset,daylight_duration,sunshine_duration,precipitation_sum,rain_sum,snowfall_sum,precipitation_hours,wind_speed_10m_max,wind_gusts_10m_max,wind_direction_10m_dominant,shortwave_radiation_sum,et0_fao_evapotranspiration
1,2021-01-01,2021-01-01,Greece,Athens,37.9838,23.7275,0,14.5,8.7,13.1,6.8,2021-01-01T08:41,2021-01-01T18:16,34508.55,30959.46,0.0,0.0,0.0,0.0,7.9,17.3,297,9.71,1.38
1,2021-01-02,2021-01-02,Greece,Athens,37.9838,23.7275,0,15.2,7.2,14.9,3.9,2021-01-02T08:41,2021-01-02T18:17,34549.23,25201.63,2.3,2.3,0.0,5.0,12.7,28.4,63,6.26,1.14
1,2021-01-03,2021-01-03,Greece,Athens,37.9838,23.7275,55,16.5,12.5,16.1,11.5,2021-01-03T08:41,2021-01-03T18:18,34593.08,29443.13,6.9,6.9,0.0,11.0,17.3,41.4,164,7.7,1.25
1,2021-01-04,2021-01-04,Greece,Athens,37.9838,23.7275,3,16.2,10.5,15.4,8.5,2021-01-04T08:41,2021-01-04T18:18,34640.07,9241.89,17.8,17.8,0.0,16.0,34.6,68.0,159,3.9,0.81
1,2021-01-05,2021-01-05,Greece,Athens,37.9838,23.7275,1,14.7,7.8,12.9,5.2,2021-01-05T08:41,2021-01-05T18:19,34690.14,31161.42,0.0,0.0,0.0,0.0,13.6,26.6,262,9.92,1.44
1,2021-01-06,2021-01-06,Greece,Athens,37.9838,23.7275,3,15.4,9.2,13.4,6.8,2021-01-06T08:41,2021-01-06T18:20,34743.23,28281.53,0.0,0.0,0.0,0.0,12.8,23.4,164,9.19,1.46
1,2021-01-07,2021-01-07,Greece,Athens,37.9838,23.7275,2,15.5,10.6,15.1,9.0,2021-01-07T08:41,2021-01-07T18:21,34799.29,1312.67,0.0,0.0,0.0,0.0,8.8,17.6,136,3.43,0.65
1,2021-01-08,2021-01-08,Greece,Athens,37.9838,23.7275,3,17.7,11.5,17.0,10.6,2021-01-08T08:41,2021-01-08T18:22,34858.32,24234.52,0.0,0.0,0.0,0.0,16.6,31.3,144,8.56,1.26
1,2021-01-09,2021-01-09,Greece,Athens,37.9838,23.7275,3,19.7,14.4,20.5,14.1,2021-01-09T08:41,2021-01-09T18:23,34921.0,28453.25,0.9,0.9,0.0,3.0,16.5,36.4,169,9.25,1.41
1,2021-01-10,2021-01-10,Greece,Athens,37.9838,23.7275,1,19.2,14.0,19.8,13.8,2021-01-10T08:41,2021-01-10T18:24,34987.39,31491.16,0.2,0.2,0.0,2.0,16.5,50.8,132,9.71,1.53
1,2021-01-11,2021-01-11,Greece,Athens,37.9838,23.7275,3,20.1,13.6,19.9,12.9,2021-01-11T08:40,2021-01-11T18:25,35057.32,24865.93,0.0,0.0,0.0,0.0,15.5,47.9,144,7.9,1.44
1,2021-01-12,2021-01-12,Greece,Athens,37.9838,23.7275,3,17.8,10.0,17.5,8.0,2021-01-12T08:40,2021-01-12T18:26,35130.67,23819.65,4.4,4.4,0.0,5.0,22.4,43.9,192,5.97,1.3
1,2021-01-13,2021-01-13,Greece,Athens,37.9838,23.7275,1,14.0,6.6,10.9,4.3,2021-01-13T08:40,2021-01-13T18:27,35207.28,31734.49,0.0,0.0,0.0,0.0,18.7,35.3,304,9.65,1.51
1,2021-01-14,2021-01-14,Greece,Athens,37.9838,23.7275,51,10.8,5.5,6.8,2.1,2021-01-14T08:40,2021-01-14T18:28,35287.0,31822.47,0.5,0.5,0.0,3.0,22.5,42.1,323,10.89,1.66
1,2021-01-15,2021-01-15,Greece,Athens,37.9838,23.7275,1,11.6,5.8,8.2,0.3,2021-01-15T08:39,2021-01-15T18:29,35369.69,20357.05,0.4,0.4,0.0,3.0,28.5,52.6,6,5.19,1.3
1,2021-01-16,2021-01-16,Greece,Athens,37.9838,23.7275,3,7.4,3.4,4.3,-0.9,2021-01-16T08:39,2021-01-16T18:30,35455.2,2552.29,13.4,13.4,0.0,12.0,15.5,29.9,15,3.19,0.72
1,2021-01-17,2021-01-17,Greece,Athens,37.9838,23.7275,2,4.8,0.3,-0.5,-5.5,2021-01-17T08:38,2021-01-17T18:31,35543.39,31930.22,0.0,0.0,0.0,0.0,25.4,46.8,350,11.76,1.66
1,2021-01-18,2021-01-18,Greece,Athens,37.9838,23.7275,1,6.6,-0.9,1.9,-5.3,2021-01-18T08:38,2021-01-18T18:32,35634.12,30198.34,0.2,0.0,0.14,2.0,18.3,36.7,31,8.54,1.29
1,2021-01-19,2021-01-19,Greece,Athens,37.9838,23.7275,1,8.0,-0.4,3.8,-4.3,2021-01-19T08:38,2021-01-19T18:33,35727.24,31497.64,0.0,0.0,0.0,0.0,14.4,26.6,354,11.44,1.44
1,2021-01-20,2021-01-20,Greece,Athens,37.9838,23.7275,0,10.9,-0.7,8.6,-4.8,2021-01-20T08:37,2021-01-20T18:34,35822.64,32028.19,0.0,0.0,0.0,0.0,9.4,18.0,330,11.63,1.55
1,2021-01-21,2021-01-21,Greece,Athens,37.9838,23.7275,1,13.5,8.7,12.6,6.7,2021-01-21T08:37,2021-01-21T18:35,35920.15,32061.25,0.0,0.0,0.0,0.0,8.0,15.8,278,11.3,1.55
